imu_1,imu_2,imu_3,imu_4,imu_5,imu_6,imu_7,imu_8,imu_9,imu_10,imu_11,flex_start,flex_end,flex_x_interpolated
501356,-3.656,8.432,-4.362,1.232,1.8,2.832,27.45,100.8,-28.8,27.6,3381,2.725,1364.1417976861464
501410,-2.871,7.824,-5.124,-0.411,-0.297,2.439,-22.8,104.1,-34.5,27.5,3064,2.469,1363.7178878671018
501464,0.687,5.701,-3.51,0.891,-0.412,2.93,-22.8,104.1,-34.5,27.5,2807,2.262,1363.293978048057
501518,3.436,5.873,-7.357,2.431,0.458,2.892,-22.8,104.1,-34.5,27.5,2288,1.844,1362.870068229012
501572,1.944,6.555,-4.99,-0.772,2.368,2.898,-67.2,69.75,-34.05,27.5,1267,1.021,1362.4461584099674
501626,1.848,4.954,-7.623,1.645,0.163,1.767,-67.2,69.75,-34.05,27.5,1503,1.211,1362.0222485909226
501680,3.182,6.852,-7.254,0.068,1.765,2.538,-67.2,69.75,-34.05,27.5,832,0.67,1361.5983387718777
501734,5.851,6.68,-6.306,0.324,0.642,1.747,-67.2,69.75,-34.05,27.2,1124,0.906,1361.174428952833
501788,7.058,5.329,-7.774,1.507,1.041,0.382,-76.35,44.85,-17.55,27.9,441,0.355,1360.7505191337882
501842,4.35,5.729,-7.748,-0.428,0.315,1.591,-76.35,44.85,-17.55,27.5,781,0.629,1360.3266093147433
501896,5.827,4.618,-4.353,0.044,1.277,1.126,-79.05,36.9,-12.15,27.7,848,0.683,1359.9026994956987
501950,8.226,6.203,-6.773,-0.672,0.023,0.554,-79.05,36.9,-12.15,27.5,119,0.096,1359.4787896766538
502004,6.85,0.745,-4.721,0.557,0.628,0.913,-79.5,27.9,-6.3,27.4,166,0.134,1359.054879857609
502058,7.535,5.883,-6.163,-0.177,0.04,0.962,-79.5,27.9,-6.3,27.5,103,0.083,1358.630970038564
502112,7.496,2.109,-5.191,0.45,0.651,0.574,-79.5,19.05,-1.5,27.2,87,0.07,1358.2070602195195
502166,7.831,3.496,-6.057,0.164,0.056,0.544,-80.1,12.3,2.1,27.6,137,0.11,1357.7831504004746
502220,6.704,2.725,-5.207,-0.095,0.726,1.017,-80.1,12.3,2.1,27.4,149,0.12,1357.3592405814297
502274,9.34,3.859,-6.886,0.677,-0.402,0.097,-77.1,6.9,3.15,27.6,101,0.081,1356.935330762385
502328,9.78,4.63,-7.839,-0.27,0.078,-0.095,-77.1,6.9,3.15,27.4,125,0.101,1356.5114209433402
502382,10.108,5.425,-9.493,-0.01,-0.669,-1.503,-77.1,6.9,3.15,27.6,126,0.102,1356.0875111242954
502436,7.626,4.705,-7.266,-1.458,0.092,-0.491,-77.1,6.9,3.15,27.6,177,0.143,1355.6636013052507
502490,7.949,3.929,-6.759,-0.811,-0.531,-1.68,-78.3,17.1,-0.15,27.6,153,0.123,1355.2396914862059
502544,8.588,4.415,-6.613,-0.482,-0.64,-1.843,-78.3,17.1,-0.15,27.7,351,0.283,1354.815781667161
502598,8.011,5.571,-6.215,-1.074,-0.426,-1.707,-78.3,17.1,-0.15,27.5,1031,0.831,1354.3918718481164
502652,7.724,5.49,-4.697,-0.597,-0.126,-1.878,-78.3,17.1,-0.15,27.6,1920,1.547,1353.9679620290715
502706,4.559,5.978,-4.396,-0.399,-0.549,-2.234,-69.6,47.1,-8.7,27.2,2835,2.285,1353.5440522100266
502760,2.717,7.015,-4.772,-0.501,-1.061,-2.122,-69.6,47.1,-8.7,27.5,2907,2.343,1353.120142390982
502814,2.586,6.993,-4.156,-0.415,-0.382,-1.817,-69.6,47.1,-8.7,27.6,2901,2.338,1352.6962325719371
502868,1.128,8.078,-5.001,-0.442,-0.862,-1.951,-57.15,81.3,-26.1,27.5,2919,2.352,1352.2723227528923
502922,1.386,7.97,-4.053,-0.718,-0.713,-1.858,-57.15,81.3,-26.1,27.4,2951,2.378,1351.8484129338476
502976,-0.587,8.629,-4.858,-0.278,-0.874,-2.12,-40.2,95.85,-30.6,27.8,3296,2.656,1351.4245031148027
503030,-0.232,7.305,-3.551,-0.556,-1.104,-2.34,-40.2,95.85,-30.6,27.6,3365,2.712,1351.0005932957579
503084,-3.534,8.124,-4.853,-0.427,-0.26,-2.07,-20.85,104.7,-29.55,27.5,3492,2.814,1350.5766834767132
503138,-3.802,7.35,-3.318,-0.768,-1.084,-1.812,-20.85,104.7,-29.55,27.5,3661,2.95,1350.1527736576684
503192,-3.409,7.333,-2.995,-0.649,-0.708,-1.791,-1.2,108.0,-26.1,27.4,3733,3.008,1349.7288638386235
503246,-4.899,5.033,-0.8,0.297,-0.387,-2.484,-1.2,108.0,-26.1,27.9,3749,3.021,1349.3049540195789
503300,-6.17,6.644,-2.43,-0.295,-0.046,-1.683,15.45,106.5,-22.35,27.5,3717,2.995,1348.881044200534
503354,-6.754,5.48,-2.626,-1.01,-0.317,-1.689,15.45,106.5,-22.35,27.5,3716,2.995,1348.4571343814891
503408,-7.726,2.725,-0.599,0.862,0.003,-1.695,29.25,101.85,-18.0,27.6,3591,2.894,1348.0332245624443
503462,-10.503,3.455,-1.425,-0.278,0.524,-0.1,29.25,101.85,-18.0,27.6,3601,2.902,1347.6093147433996
503516,-9.943,6.167,-1.566,-0.715,0.289,-1.31,29.25,101.85,-18.0,27.6,3553,2.863,1347.1854049243548
503570,-8.712,1.851,-2.337,-0.984,-0.241,-0.58,45.15,94.8,-14.4,27.7,3535,2.849,1346.76149510531
503624,-8.705,3.426,-0.934,0.391,0.173,0.008,45.15,94.8,-14.4,27.3,3368,2.714,1346.3375852862653
503678,-10.072,2.531,-0.646,-1.308,1.197,0.402,45.15,94.8,-14.4,27.4,3307,2.665,1345.9136754672204
503732,-10.704,-0.687,-1.441,-0.412,0.576,1.911,45.15,94.8,-14.4,27.7,3205,2.583,1345.4897656481755
503786,-7.515,0.627,-2.682,2.449,-0.827,3.456,39.3,96.75,-11.1,27.6,3035,2.446,1345.065855829131
503840,-2.593,6.876,-3.144,2.735,-0.03,3.238,39.3,96.75,-11.1,27.5,2469,1.99,1344.641946010086
503894,-2.397,9.45,-4.207,0.66,1.854,2.522,39.3,96.75,-11.1,27.6,1290,1.04,1344.2180361910412
503948,-4.075,6.642,-4.547,-0.553,1.211,1.888,39.3,96.75,-11.1,27.6,1733,1.397,1343.7941263719965
504002,-2.67,4.274,-3.95,0.698,-0.196,2.726,-15.6,103.5,-32.4,27.6,551,0.444,1343.3702165529517
504056,6.694,11.025,-7.396,1.65,1.772,2.652,-35.85,95.7,-41.1,27.4,155,0.125,1342.9463067339068
504110,-0.467,3.601,-4.812,0.233,0.634,1.851,-35.85,95.7,-41.1,27.6,1531,1.234,1342.5223969148622
504164,2.729,10.532,-6.302,1.459,1.362,1.896,-58.95,73.65,-35.25,27.4,714,0.575,1342.0984870958173
504218,0.974,2.145,-2.842,0.187,0.513,2.581,-58.95,73.65,-35.25,27.5,151,0.122,1341.6745772767724
504272,2.83,12.392,-7.779,1.405,1.207,2.329,-63.45,55.8,-24.3,27.6,164,0.132,1341.2506674577276
504326,11.155,-0.232,-6.275,0.173,-0.79,1.532,-63.45,55.8,-24.3,27.6,231,0.186,1340.826757638683
504380,8.574,7.839,-8.59,-0.586,0.772,1.927,-68.7,43.8,-21.0,27.5,159,0.128,1340.402847819638
504434,7.477,1.329,-5.95,1.387,1.459,0.503,-68.7,43.8,-21.0,27.4,155,0.125,1339.9789380005932
504488,5.045,4.571,-6.622,-0.291,0.71,1.83,-74.7,34.5,-12.6,27.6,139,0.112,1339.5550281815486
504542,10.578,4.642,-7.542,0.446,1.132,1.056,-74.7,34.5,-12.6,27.2,147,0.118,1339.1311183625037
504596,5.066,1.12,-5.119,0.004,0.481,0.843,-74.7,34.5,-12.6,27.5,119,0.096,1338.7072085434588
504650,8.564,3.998,-6.61,-0.082,0.93,1.384,-78.15,17.4,-2.1,27.6,155,0.125,1338.2832987244142
504704,8.442,3.089,-5.792,-0.356,-0.019,0.379,-78.15,17.4,-2.1,27.7,150,0.121,1337.8593889053693
504758,6.718,0.745,-4.068,-0.004,0.569,0.744,-78.15,17.4,-2.1,27.5,179,0.144,1337.4354790863244
